materials;participant;is_test_trial;item;condition;position;rating1;content
qb_E1_main;1;no;1;c;15;4;"A: Eva se zúčastnila lingvistické olympiády, kde skončila jako čtvrtá.

B: Nevyhrála Eva nějakou cenu?"
qb_E1_main;1;no;2;d;35;5;"A: Sandra byla na vyšetření v zubní ordinaci, kam chodí docela často.

B: Nevytrhla jí zubařka nějaký zub?"
qb_E1_main;1;no;3;e;68;3;"A: Markéta se zapsala na kurz vaření, kvůli kterému si od maminky půjčila papiňák.

B: Markéta si od maminky nepůjčila žádnou pánvičku?"
qb_E1_main;1;no;4;f;32;3;"A: Adéla ráno vycházela z pekárny, která je za rohem.

B: Adéla nechtěla žádné koláče?"
qb_E1_main;1;no;5;g;71;4;"A: Lenka zašla do knihovny, kde si půjčila básnickou sbírku. 

B: Lenka si nepůjčila nějaký román?"
qb_E1_main;1;no;6;h;8;4;"A: Sabina šla o víkendu do divadla, kam sehnala levné lístky.

B: Sabina nebyla na nějaké tragédii?"
qb_E1_main;1;no;7;a;11;2;"A: Jana má na zahradě záhon, kam zasadila zeleninu.

B: Nezasadila tam Jana žádné květiny?"
qb_E1_main;1;no;8;b;60;3;"A: Johana zavřela kufřík s nářadím, který měla na půdě. 

B: Nevrátila Johana do kufříku žádný šroubovák? "
qb_E1_main;1;no;9;c;51;3;"A: Barbora s námi nasdílela složku, do které uložila textový dokument.

B: Neuložila Barbora do složky nějakou tabulku?"
qb_E1_main;1;no;10;d;47;6;"A: Martina se vrátila z drogerie, která je naproti poště.

B: Nekoupila si Martina nějaký šampon?"
qb_E1_main;1;no;11;e;1;3;"A: Tereza vyprávěla o poznávacím zájezdu do Egypta, kde se byla podívat na sfingu.  

B: Tereza neviděla žádnou pyramidu?"
qb_E1_main;1;no;12;f;49;5;"A: Klára měla na uších sluchátka, která dostala o Vánocích.

B: Klára neposlouchala žádný podcast?"
qb_E1_main;1;no;13;g;39;3;"A: Denisa vzpomínala na útulek, ze kterého si domů přivedla kočku.

B: Denisa si domů nepřivedla nějakého psa?"
qb_E1_main;1;no;14;h;79;3;"A: Natálie se dívala na svůj pondělní rozvrh, který si sama sestavila. 

B: Natálie nechodí v pondělí na nějakou přednášku? "
qb_E1_main;1;no;15;a;73;4;"A: Pavlína jela po dálnici, kde zastavila v odstavném pruhu.

B: Nezastavila Pavlína na žádném odpočívadle? "
qb_E1_main;1;no;16;b;25;5;"A: Zuzana se zdržela v trafice, která je poblíž tramvajové zastávky.

B: Neprohlížela si tam Zuzana žádný časopis? "
qb_E1_main;1;no;17;c;65;4;"A: Adam se posadil v cukrárně, kde snědl ovocný košíček.

B: Nedal si Adam nějaký dortík? "
qb_E1_main;1;no;18;d;56;4;"A: Štěpán byl na čundru, na který jezdí každé léto.

B: Nevzal si Štěpán s sebou nějaký stan?"
qb_E1_main;1;no;19;e;54;5;"A: Ondra večeřel v italské restauraci, kde si objednal špagety.  

B: Ondra si neobjednal žádnou pizzu?"
qb_E1_main;1;no;20;f;23;4;"A: Tomáš byl o víkendu na párty, na kterou dorazili i jeho kamarádi.

B: Tomáš si tam nedal žádný drink?"
qb_E1_main;1;no;21;g;18;6;"A: Jirka otevřel příborník, ze kterého vyndal vidličky. 

B: Jirka nevyndal z příborníku nějaké nože?"
qb_E1_main;1;no;22;h;20;4;"A: Martin stál v obchodě za pokladnou, kam ho poslal jeho šéf. 

B: Martin tam nepřijímal nějakou objednávku?"
qb_E1_main;1;no;23;a;27;4;"A: Petr strávil léto v přístavu, kde si půjčil vodní skůtr.

B: Nepůjčil si Petr žádnou plachetnici? "
qb_E1_main;1;no;24;b;30;5;"A: Pavel se zastavil v lékárně, která je v areálu nemocnice.

B: Nepřinesl si Pavel žádné pilulky?"
qb_E1_main;1;no;25;c;5;6;"A: Michal pokládal na stůl šperkovnici, do které uložil náhrdelník.

B: Nedal Michal do šperkovnice nějaký prsten?"
qb_E1_main;1;no;26;d;63;6;"A: Karel šel do půjčovny aut, která má velký výběr. 

B: Nevybral si Karel nějakou škodovku?"
