materials;participant;is_test_trial;item;condition;context;Vpos;PI;structuralC;contextualC;position;rating1;content
qb_E1_main;1;no;1;c;negative;V1;PPI;0;0;15;4;"A: Eva se zĂşÄŤastnila lingvistickĂ© olympiĂˇdy, kde skonÄŤila jako ÄŤtvrtĂˇ.

B: NevyhrĂˇla Eva nÄ›jakou cenu?"
qb_E1_main;1;no;2;d;neutral;V1;PPI;0;0;35;5;"A: Sandra byla na vyĹˇetĹ™enĂ­ v zubnĂ­ ordinaci, kam chodĂ­ docela ÄŤasto.

B: Nevytrhla jĂ­ zubaĹ™ka nÄ›jakĂ˝ zub?"
qb_E1_main;1;no;3;e;negative;nonV1;NCI;0;0;68;3;"A: MarkĂ©ta se zapsala na kurz vaĹ™enĂ­, kvĹŻli kterĂ©mu si od maminky pĹŻjÄŤila papiĹĂˇk.

B: MarkĂ©ta si od maminky nepĹŻjÄŤila ĹľĂˇdnou pĂˇnviÄŤku?"
qb_E1_main;1;no;4;f;neutral;nonV1;NCI;0;1;32;3;"A: AdĂ©la rĂˇno vychĂˇzela z pekĂˇrny, kterĂˇ je za rohem.

B: AdĂ©la nechtÄ›la ĹľĂˇdnĂ© kolĂˇÄŤe?"
qb_E1_main;1;no;5;g;negative;nonV1;PPI;1;0;71;4;"A: Lenka zaĹˇla do knihovny, kde si pĹŻjÄŤila bĂˇsnickou sbĂ­rku. 

B: Lenka si nepĹŻjÄŤila nÄ›jakĂ˝ romĂˇn?"
qb_E1_main;1;no;6;h;neutral;nonV1;PPI;1;0;8;4;"A: Sabina Ĺˇla o vĂ­kendu do divadla, kam sehnala levnĂ© lĂ­stky.

B: Sabina nebyla na nÄ›jakĂ© tragĂ©dii?"
qb_E1_main;1;no;7;a;negative;V1;NCI;1;0;11;2;"A: Jana mĂˇ na zahradÄ› zĂˇhon, kam zasadila zeleninu.

B: Nezasadila tam Jana ĹľĂˇdnĂ© kvÄ›tiny?"
qb_E1_main;1;no;8;b;neutral;V1;NCI;1;1;60;3;"A: Johana zavĹ™ela kufĹ™Ă­k s nĂˇĹ™adĂ­m, kterĂ˝ mÄ›la na pĹŻdÄ›. 

B: NevrĂˇtila Johana do kufĹ™Ă­ku ĹľĂˇdnĂ˝ ĹˇroubovĂˇk? "
qb_E1_main;1;no;9;c;negative;V1;PPI;0;0;51;3;"A: Barbora s nĂˇmi nasdĂ­lela sloĹľku, do kterĂ© uloĹľila textovĂ˝ dokument.

B: NeuloĹľila Barbora do sloĹľky nÄ›jakou tabulku?"
qb_E1_main;1;no;10;d;neutral;V1;PPI;0;0;47;6;"A: Martina se vrĂˇtila z drogerie, kterĂˇ je naproti poĹˇtÄ›.

B: Nekoupila si Martina nÄ›jakĂ˝ Ĺˇampon?"
qb_E1_main;1;no;11;e;negative;nonV1;NCI;0;0;1;3;"A: Tereza vyprĂˇvÄ›la o poznĂˇvacĂ­m zĂˇjezdu do Egypta, kde se byla podĂ­vat na sfingu.  

B: Tereza nevidÄ›la ĹľĂˇdnou pyramidu?"
qb_E1_main;1;no;12;f;neutral;nonV1;NCI;0;1;49;5;"A: KlĂˇra mÄ›la na uĹˇĂ­ch sluchĂˇtka, kterĂˇ dostala o VĂˇnocĂ­ch.

B: KlĂˇra neposlouchala ĹľĂˇdnĂ˝ podcast?"
qb_E1_main;1;no;13;g;negative;nonV1;PPI;1;0;39;3;"A: Denisa vzpomĂ­nala na Ăştulek, ze kterĂ©ho si domĹŻ pĹ™ivedla koÄŤku.

B: Denisa si domĹŻ nepĹ™ivedla nÄ›jakĂ©ho psa?"
qb_E1_main;1;no;14;h;neutral;nonV1;PPI;1;0;79;3;"A: NatĂˇlie se dĂ­vala na svĹŻj pondÄ›lnĂ­ rozvrh, kterĂ˝ si sama sestavila. 

B: NatĂˇlie nechodĂ­ v pondÄ›lĂ­ na nÄ›jakou pĹ™ednĂˇĹˇku? "
qb_E1_main;1;no;15;a;negative;V1;NCI;1;0;73;4;"A: PavlĂ­na jela po dĂˇlnici, kde zastavila v odstavnĂ©m pruhu.

B: Nezastavila PavlĂ­na na ĹľĂˇdnĂ©m odpoÄŤĂ­vadle? "
qb_E1_main;1;no;16;b;neutral;V1;NCI;1;1;25;5;"A: Zuzana se zdrĹľela v trafice, kterĂˇ je poblĂ­Ĺľ tramvajovĂ© zastĂˇvky.

B: NeprohlĂ­Ĺľela si tam Zuzana ĹľĂˇdnĂ˝ ÄŤasopis? "
qb_E1_main;1;no;17;c;negative;V1;PPI;0;0;65;4;"A: Adam se posadil v cukrĂˇrnÄ›, kde snÄ›dl ovocnĂ˝ koĹˇĂ­ÄŤek.

B: Nedal si Adam nÄ›jakĂ˝ dortĂ­k? "
qb_E1_main;1;no;18;d;neutral;V1;PPI;0;0;56;4;"A: Ĺ tÄ›pĂˇn byl na ÄŤundru, na kterĂ˝ jezdĂ­ kaĹľdĂ© lĂ©to.

B: Nevzal si Ĺ tÄ›pĂˇn s sebou nÄ›jakĂ˝ stan?"
qb_E1_main;1;no;19;e;negative;nonV1;NCI;0;0;54;5;"A: Ondra veÄŤeĹ™el v italskĂ© restauraci, kde si objednal Ĺˇpagety.  

B: Ondra si neobjednal ĹľĂˇdnou pizzu?"
qb_E1_main;1;no;20;f;neutral;nonV1;NCI;0;1;23;4;"A: TomĂˇĹˇ byl o vĂ­kendu na pĂˇrty, na kterou dorazili i jeho kamarĂˇdi.

B: TomĂˇĹˇ si tam nedal ĹľĂˇdnĂ˝ drink?"
qb_E1_main;1;no;21;g;negative;nonV1;PPI;1;0;18;6;"A: Jirka otevĹ™el pĹ™Ă­bornĂ­k, ze kterĂ©ho vyndal vidliÄŤky. 

B: Jirka nevyndal z pĹ™Ă­bornĂ­ku nÄ›jakĂ© noĹľe?"
qb_E1_main;1;no;22;h;neutral;nonV1;PPI;1;0;20;4;"A: Martin stĂˇl v obchodÄ› za pokladnou, kam ho poslal jeho ĹˇĂ©f. 

B: Martin tam nepĹ™ijĂ­mal nÄ›jakou objednĂˇvku?"
qb_E1_main;1;no;23;a;negative;V1;NCI;1;0;27;4;"A: Petr strĂˇvil lĂ©to v pĹ™Ă­stavu, kde si pĹŻjÄŤil vodnĂ­ skĹŻtr.

B: NepĹŻjÄŤil si Petr ĹľĂˇdnou plachetnici? "
qb_E1_main;1;no;24;b;neutral;V1;NCI;1;1;30;5;"A: Pavel se zastavil v lĂ©kĂˇrnÄ›, kterĂˇ je v areĂˇlu nemocnice.

B: NepĹ™inesl si Pavel ĹľĂˇdnĂ© pilulky?"
qb_E1_main;1;no;25;c;negative;V1;PPI;0;0;5;6;"A: Michal poklĂˇdal na stĹŻl Ĺˇperkovnici, do kterĂ© uloĹľil nĂˇhrdelnĂ­k.

B: Nedal Michal do Ĺˇperkovnice nÄ›jakĂ˝ prsten?"
