materials;participant;is_test_trial;item;condition;position;rating1;content
1_examples;1;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;1;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;2;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;2;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;3;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;3;no;2;a;2;2;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;4;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;4;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;5;no;1;a;1;2;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;5;no;2;a;2;2;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;6;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;6;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;7;no;1;a;1;3;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;7;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;8;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;8;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;9;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;9;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;10;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;10;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;11;no;1;a;1;4;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;11;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;12;no;1;a;1;5;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;12;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;13;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;13;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;14;no;1;a;1;2;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;14;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;15;no;1;a;1;1;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;15;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;16;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;16;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;17;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;17;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;18;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;18;no;2;a;2;2;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;19;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;19;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;20;no;1;a;1;5;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;20;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;21;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;21;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;22;no;1;a;1;1;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;22;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;23;no;1;a;1;6;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;23;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;24;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;24;no;2;a;2;4;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;25;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
1_examples;25;no;2;a;2;1;"**Пример 2**

А: Вася пригласил свою жену в японский ресторан, где они заказали суши.

Б: Вася выбрал себе никакие суши?

_Реакция от Б в данном контексте звучит абсолютно неестественно, поэтому её нужно оценить на 1 или 2 по шкале ниже._"
1_examples;26;no;1;a;1;7;"**Пример 1**

А: Марина ходила на обед в столовую, которая находится за углом.

Б: Не взяла ли Марина там какой-нибудь суп?

_Реакция от Б звучит абсолютно естественно в этом контексте, поэтому её нужно оценить на 6 или 7 по шкале ниже._"
