materials;participant;is_test_trial;item;condition;position;rating1;content
E1;1;no;1;a;10;6;"A: Ewa wzięła udział w olimpiadzie lingwistycznej, gdzie zajęła czwarte miejsce. 

B: Czy Ewa nie wygrała żadnej nagrody?"
E1;1;no;2;b;12;4;"A: Sandra miała wizytę u dentysty, po której wyszła bez bólu. 

B: Czy dentysta nie wyrwał jej jakiegoś zęba?"
E1;1;no;3;c;29;2;"A: Małgorzata zapisała się na kurs gotowania, więc pożyczyła mikser od matki. 

B: Małgorzata nie pożyczyła żadnej patelni od matki?"
E1;1;no;4;d;33;7;"A: Agata poszła dziś rano do piekarni, gdzie poprosiła o świeże bułki. 

B: Agata nie chciała jakichś ciast?"
E1;1;no;5;e;66;6;"A: Lenka poszła do biblioteki, która jest otwarta 24 godziny na dobę. 

B: Czy Lenka nie wypożyczyła żadnej powieści?"
E1;1;no;6;f;8;6;"A: Sabina poszła w weekend do teatru, gdzie dostała tanie bilety. 

B: Czy Sabina nie poszła na jakąś tragedię?"
E1;1;no;7;g;19;7;"A: Jana ma w ogrodzie grządkę, którą założyła rok temu. 

B: Jana nie zasadziła tam żadnych kwiatów?"
E1;1;no;8;h;15;2;"A: Joanna zamknęła skrzynkę z narzędziami, którą trzymała na poddaszu. 

B: Joanna nie odłożyła jakiegoś śrubokrętu do skrzynki?"
E1;1;no;9;a;17;4;"A: Barbara udostępniła nam folder, w którym zapisała dokument tekstowy. 

B: Czy Barbara nie zapisała żadnej tabeli w tym folderze?"
E1;1;no;10;b;52;5;"A: Marysia wróciła z drogerii, gdzie kupiła żel pod prysznic. 

B: Czy Marysia nie kupiła jakiegoś szamponu?"
E1;1;no;11;c;68;5;"A: Teresa opowiedziała o wycieczce do Egiptu, gdzie zobaczyła Sfinksa. 

B: Teresa nie widziała żadnych piramid?"
E1;1;no;12;d;49;1;"A: Krystyna miała na uszach słuchawki, przez które słuchała muzyki klasycznej. 

B: Krystyna nie słuchała jakiegoś podcastu?"
E1;1;no;13;e;77;5;"A: Dorota wspomniała schronisko, które było pełne porzuconych zwierząt. 

B: Czy Dorota nie przywiozła do domu żadnego psa?"
E1;1;no;14;f;42;5;"A: Natalia patrzyła na swój poniedziałkowy rozkład zajęć, który sama ułożyła. 

B: Czy Natalia nie chodzi na jakieś wykłady w poniedziałki?"
E1;1;no;15;g;70;1;"A: Paulina jechała autostradą, która była niedawno remontowana. 

B: Paulina nie zatrzymała się na żadnym parkingu?"
E1;1;no;16;h;40;7;"A: Zuzanna zatrzymała się w kiosku, który znajduje się w pobliżu przystanku tramwajowego. 

B: Zuzanna nie przejrzała tam jakiegoś czasopisma?"
E1;1;no;17;a;73;1;"A: Adam usiadł w cukierni, gdzie zjadł babeczkę z owocami. 

B: Czy Adam nie zjadł żadnego tortu?"
E1;1;no;18;b;46;3;"A: Szczepan był na wycieczce, gdzie spał pod gołym niebem. 

B: Czy Szczepan nie wziął ze sobą jakiegoś namiotu?"
E1;1;no;19;c;75;1;"A: Andrzej jadł kolację we włoskiej restauracji, gdzie zamówił spaghetti. 

B: Andrzej nie zamówił żadnej pizzy?"
E1;1;no;20;d;79;5;"A: Tomasz poszedł w weekend na imprezę, z której wrócił samochodem. 

B: Tomasz nie pił tam jakiegoś drinka?"
E1;1;no;21;e;59;7;"A: Jerzy otworzył kredens, który był bardzo brudny. 

B: Czy Jerzy nie wyjął żadnych noży z kredensu?"
E1;1;no;22;f;35;7;"A: Marcin stał za kasą w sklepie, gdzie wysłał go szef. 

B: Czy Marcin nie przyjmował tam jakichś zamówień?"
E1;1;no;23;g;31;5;"A: Piotr spędził lato w porcie, którego nazwy zapomniał. 

B: Piotr nie wypożyczył tam żadnej żaglówki?"
E1;1;no;24;h;62;1;"A: Paweł zatrzymał się w aptece, która znajduje się na terenie szpitala. 

B: Paweł nie przyniósł jakichś tabletek?"
E1;1;no;25;a;21;5;"A: Michał położył na stole pudełko z biżuterią, gdzie włożył naszyjnik. 

B: Czy Michał nie włożył żadnego pierścionka do pudełka?"
E1;1;no;26;b;84;1;"A: Kacper poszedł do wypożyczalni samochodów, gdzie wybrał Mazdę 3. 

B: Czy Kacper nie wybrał jakiegoś fiata?"
E1;1;no;27;c;55;7;"A: Łukasz położył na stole piórnik, z którego wyjął czerwony flamaster. 

B: Łukasz nie wyjął żadnej kredki z piórnika?"
E1;1;no;28;d;4;7;"A: Franciszek miał przy sobie torbę sportową, do której spakował rakietę. 

B: Franciszek nie spakował tam jakiejś piłki?"
E1;1;no;29;e;37;4;"A: Jacek zobaczył przez okno padający śnieg, który szybko pokrył podwórko. 

B: Czy Jacek nie ulepił żadnego bałwana?"
E1;1;no;30;f;27;7;"A: Daniel wybrał się na wycieczkę do zoo, gdzie nie był od dłuższego czasu. 

B: Czy Daniel nie podziwiał jakiegoś drapieżnika?"
E1;1;no;31;g;24;2;"A: Dawid cieszył się wakacjami, których nigdy nie zapomni. 

B: Dawid nie pojechał na żaden obóz?"
E1;1;no;32;h;57;6;"A: Jan wziął udział w turnieju szachowym, który odbył się we wtorek. 

B: Jan nie przegrał jakiejś partii?"
E1;2;no;1;c;14;6;"A: Ewa wzięła udział w olimpiadzie lingwistycznej, gdzie zajęła czwarte miejsce. 

B: Ewa nie wygrała żadnej nagrody?"
E1;2;no;2;d;88;3;"A: Sandra miała wizytę u dentysty, po której wyszła bez bólu. 

B: Dentysta nie wyrwał jej jakiegoś zęba?"
E1;2;no;3;e;65;3;"A: Małgorzata zapisała się na kurs gotowania, który ma dobre opinie. 

B: Czy Małgorzata nie pożyczyła żadnej patelni od matki?"
E1;2;no;4;f;24;5;"A: Agata poszła dziś rano do piekarni, która znajduje się za rogiem. 

B: Czy Agata nie chciała jakichś ciast?"
E1;2;no;5;g;58;7;"A: Lenka poszła do biblioteki, która jest otwarta 24 godziny na dobę. 

B: Lenka nie wypożyczyła żadnej powieści?"
E1;2;no;6;h;21;7;"A: Sabina poszła w weekend do teatru, gdzie dostała tanie bilety. 

B: Sabina nie poszła na jakąś tragedię?"
E1;2;no;7;a;54;3;"A: Jana ma w ogrodzie grządkę, na której zasadziła warzywa. 

B: Czy Jana nie zasadziła tam żadnych kwiatów?"
E1;2;no;8;b;18;3;"A: Joanna zamknęła skrzynkę z narzędziami, do której odłożyła młotek. 

B: Czy Joanna nie odłożyła jakiegoś śrubokrętu do skrzynki?"
E1;2;no;9;c;26;6;"A: Barbara udostępniła nam folder, w którym zapisała dokument tekstowy. 

B: Barbara nie zapisała żadnej tabeli w tym folderze?"
E1;2;no;10;d;77;2;"A: Marysia wróciła z drogerii, gdzie kupiła żel pod prysznic. 

B: Marysia nie kupiła jakiegoś szamponu?"
E1;2;no;11;e;11;2;"A: Teresa opowiedziała o wycieczce do Egiptu, gdzie bardzo jej się podobało. 

B: Czy Teresa nie widziała żadnych piramid?"
E1;2;no;12;f;51;7;"A: Krystyna miała na uszach słuchawki, które dostała na Boże Narodzenie. 

B: Czy Krystyna nie słuchała jakiegoś podcastu?"
E1;2;no;13;g;48;6;"A: Dorota wspomniała schronisko, które było pełne porzuconych zwierząt. 

B: Dorota nie przywiozła do domu żadnego psa?"
E1;2;no;14;h;61;6;"A: Natalia patrzyła na swój poniedziałkowy rozkład zajęć, który sama ułożyła. 

B: Natalia nie chodzi na jakieś wykłady w poniedziałki?"
E1;2;no;15;a;63;1;"A: Paulina jechała autostradą, gdzie zatrzymała się na pasie awaryjnym. 

B: Czy Paulina nie zatrzymała się na żadnym parkingu?"
E1;2;no;16;b;75;7;"A: Zuzanna zatrzymała się w kiosku, gdzie przejrzała gazetę. 

B: Czy Zuzanna nie przejrzała tam jakiegoś czasopisma?"
E1;2;no;17;c;67;2;"A: Adam usiadł w cukierni, gdzie zjadł babeczkę z owocami. 

B: Adam nie zjadł żadnego tortu?"
E1;2;no;18;d;40;7;"A: Szczepan był na wycieczce, gdzie spał pod gołym niebem. 

B: Szczepan nie wziął ze sobą jakiegoś namiotu?"
E1;2;no;19;e;33;6;"A: Andrzej jadł kolację we włoskiej restauracji, gdzie ładnie pachniało. 

B: Czy Andrzej nie zamówił żadnej pizzy?"
E1;2;no;20;f;36;7;"A: Tomasz poszedł w weekend na imprezę, na którą przyszli i jego przyjaciele. 

B: Czy Tomasz nie pił tam jakiegoś drinka?"
E1;2;no;21;g;4;2;"A: Jerzy otworzył kredens, który był bardzo brudny. 

B: Jerzy nie wyjął żadnych noży z kredensu?"
E1;2;no;22;h;56;7;"A: Marcin stał za kasą w sklepie, gdzie wysłał go szef. 

B: Marcin nie przyjmował tam jakichś zamówień?"
E1;2;no;23;a;46;3;"A: Piotr spędził lato w porcie, gdzie wypożyczył skuter wodny. 

B: Czy Piotr nie wypożyczył tam żadnej żaglówki?"
E1;2;no;24;b;69;2;"A: Paweł zatrzymał się w aptece, z której przyniósł maść. 

B: Czy Paweł nie przyniósł jakichś tabletek?"
E1;2;no;25;c;72;2;"A: Michał położył na stole pudełko z biżuterią, gdzie włożył naszyjnik. 

B: Michał nie włożył żadnego pierścionka do pudełka?"
E1;2;no;26;d;44;3;"A: Kacper poszedł do wypożyczalni samochodów, gdzie wybrał Mazdę 3. 

B: Kacper nie wybrał jakiegoś fiata?"
E1;2;no;27;e;1;4;"A: Łukasz położył na stole piórnik, który prawie zgubił. 

B: Czy Łukasz nie wyjął żadnej kredki z piórnika?"
E1;2;no;28;f;6;5;"A: Franciszek miał przy sobie torbę sportową, która miała niebieskie logo. 

B: Czy Franciszek nie spakował tam jakiejś piłki?"
